code_circo,nom,genre,FILLON
26_4,Emmanuelle Anthoine,H,0.18242284138378600
34_6,Elie Aboud,H,0.1822968978678220
34_6,Elie Aboud,H,0.1822968978678220
47_2,Émilien Roso,H,0.18167815025838100
47_2,Émilien Roso,H,0.18167815025838100
42_2,Alexandra Custodio,F,0.18151720542231500
29_3,Marguerite Lamour,F,0.181243298232108
05_1,Catherine Asso,F,0.18097513921164600
39_3,Jean-Marie Sermier,H,0.1809341361065500
39_3,Jean-Marie Sermier,H,0.1809341361065500
26_3,Hervé Mariton,H,0.1809290100483810
26_3,Hervé Mariton,H,0.1809290100483810
59_10,Vincent Ledoux,H,0.18080279836531100
59_10,Vincent Ledoux,H,0.18080279836531100
30_2,Pascale Mourrut,F,0.1801215216872710
38_8,Maryline Silvestre,F,0.17966496197220000
94_7,Vincent Jeanbrun,H,0.17958757504568
94_7,Vincent Jeanbrun,H,0.17958757504568
12_2,André At,H,0.17939389594795600
12_2,André At,H,0.17939389594795600
77_9,Guy Geoffroy,H,0.17871513384655100
77_9,Guy Geoffroy,H,0.17871513384655100
62_6,Jean-Michel Taccoen,H,0.1784943917169970
62_6,Jean-Michel Taccoen,H,0.1784943917169970
24_3,Isabelle Hyvoz,F,0.17846182288778000
999_7,Philippe Gustin,H,0.17828938811156300
999_7,Philippe Gustin,H,0.17828938811156300
33_10,Jean-Paul Garraud,H,0.17806083889658600
33_10,Jean-Paul Garraud,H,0.17806083889658600
17_2,Sylvie Marcilly,F,0.17795426134274600
71_4,Stéphane Gros,H,0.1778346826141590
71_4,Stéphane Gros,H,0.1778346826141590
43_1,Laurent Wauquiez,H,0.17782626659092100
43_1,Laurent Wauquiez,H,0.17782626659092100
29_7,Didier Guillon,H,0.17752951356697000
29_7,Didier Guillon,H,0.17752951356697000
80_3,Emmanuel Maquet,H,0.1770049234544990
80_3,Emmanuel Maquet,H,0.1770049234544990
52_2,François Cornut-Gentille,H,0.17659684065934100
52_2,François Cornut-Gentille,H,0.17659684065934100
59_14,Paul Christophe,H,0.17610536939330800
59_14,Paul Christophe,H,0.17610536939330800
71_5,Gilles Platret,H,0.1760319813142880
71_5,Gilles Platret,H,0.1760319813142880
972_1,Karine Mousseau,F,0.17584277424703000
24_2,Gaëlle Blanc-Lajoinie,F,0.1757470605548930
07_3,Fabrice Brun,H,0.17562305295950200
07_3,Fabrice Brun,H,0.17562305295950200
38_4,Sandrine Martin-Grand,F,0.17516131783166100
60_2,Jean-François Mancel,H,0.17481989806087900
60_2,Jean-François Mancel,H,0.17481989806087900
