code_circo,TG,SG,Titulaire,Suppléant,MÉLENCHON
74_3,H,F,Jacques Cambon,Nawal Jos,0.16883683939682192
01_3,H,F,Christian JOLIE,Virginie Polsinelli,0.16876719005674895
72_3,F,H,Barbara Deboeuf,Philippe Palisse,0.16874652136977472
42_5,H,F,Dominique Flachat,Véronique Rakose-Truchet,0.1686753057035274
83_1,H,F,Luc Léandri,Laura Golygowski,0.16840786394708235
71_3,H,F,Pierre Aceituno,Christine BAILLARD,0.16807746467730963
76_2,H,,Alain Ninauve, ,0.167957512724054
15_1,H,F,Thierry Bonhoure,Benoite Favre,0.1678190198932557
88_3,F,,Christine Bourbon-Schmitt, ,0.16723061157408303
03_3,F,H,Marie-Thérèse Dupuis,Geoffrey Ortuno,0.1672250738582911
28_1,H,,Julien Morainnes, ,0.16705441752255576
73_1,F,H,Thierry Bonnamour,Sophie Jégonday,0.16643149120637737
10_3,H,F,Yves BOUTEILLER,Janny Borca,0.16612767291899413
45_1,F,H,Anne Sophie Leguin,Jean-Paul Vasquez,0.16595107338991513
70_2,F,H,Isabelle Haismann-Febvay,David Dornier,0.16592158823109335
56_3,H,F,Marie-Madeleine Dore Lucas,Bruno BRAVO,0.16571679088119246
54_5,H,F,Rodolphe Bauer,CLAIRE Prignon,0.16569734839381559
83_6,F,H,Jill Caziconstantinos,Denis Joly,0.16566540209996883
50_3,H,F,Bernard Rebolle,Karin Lacroix,0.16545414589574248
83_8,F,,Patricia Massis Callet, ,0.16543817541636716
89_3,F,H,Isabelle Michaud,Yoann Toupet,0.1654277584948383
74_2,F,H,Anne-Marie Amphyon,Yann Burguere,0.1653219891447851
59_18,F,H,Thérèse-Marie Cardon,Sébastien Maréchal,0.16522230595327808
49_6,F,H,Maryline Fonteneau-Grelet,Bruno Ciofi,0.1652124747818712
27_3,H,,Gwenhael Lavergne, ,0.16516516516516516
27_1,H,F,Michaël DESPRÉS,Cécile Soulignac,0.16508493737542024
02_1,H,F,Jean-Marc Chamblay,Maryline Pierrot,0.16472342011393282
76_10,F,H,Anne Lecoq-Cherblanc,Norbert Tangy,0.16435015299152053
74_5,H,F,Marin Dauriat,Isabelle Naïm Christin,0.1642786014605001
17_4,F,H,Lucie Kirchner,Tony Launay,0.16415973994496644
89_1,H,F,Mathieu De Burghrave,Pascale Kaim,0.16407260027871523
08_3,F,,Sophie Perrin, ,0.16405426463174297
06_2,F,F,Sonia Naffati,Pierre-Emmanuelle Jeanne Somer,0.1638704294186012
60_1,H,F,Fabien Navez,Alizé Piquant,0.16372799875940142
17_5,H,F,Geoffrey Lebreton,Marie-Claude Marlin,0.16358140861134873
88_2,H,F,Sylvain CALBRIX,Isabelle Arnould,0.16337532023911186
80_4,F,H,Caroline Vincent,Christophe Hertout,0.16334271743962067
14_4,H,,Stéphane Poussier, ,0.1631491493477506
45_5,F,H,Marie AGAM,Patrick Goinaud,0.16297772889744294
83_7,H,F,Laurent Richard,Marion Canavera,0.16286114292987144
49_3,H,,Georges Chabrier, ,0.16256934720572858
25_3,H,F,Christophe Espolio,Morgane Paulet,0.16244375562443755
85_2,H,F,Dominique Chevolleau,Anne-Lise Redais,0.16235322025856957
68_5,F,H,Geneviève ENGGASSER,Jean-Claude VAL,0.1620648470158429
68_6,H,F,Philippe DUFFAU,Elena Andrioli,0.1620201493833594
53_1,H,F,Nicolas Chomel,Claire Forgin,0.16163543441226577
79_3,H,F,Philippe Cochard,Anne Maugard,0.16147604558200584
75_11,H,F,Jean Pierre Coulomb,Dominique Mesfioui,0.16146634257651668
38_6,H,F,Michael Aydin,Sylviane Nouet,0.16135731909178924
61_3,H,F,Clément Bujarrabal,Martine Monteggia,0.16074720412928598
52_1,F,H,Ariane Walaszek,Benjamin MOREL,0.16039965620971208
62_6,F,,Nadine Demarey, ,0.16037532355478862
51_2,H,F,Victorien Pâté,Lucie Berweiller,0.16015625
08_1,F,,Françoise Verlhac, ,0.16013314919083538
13_2,F,H,Ariane Gil,Michel Rabillé,0.15976188560855925
51_4,F,H,Claudine Lang,Thibaut FONTAINE,0.15971380667009744
85_1,F,H,Gwenaëlle  Grietens,Jacques Reboulleau,0.15883546674992194
72_5,H,F,Luc-marie FABUREL,Salima Guédouar,0.1586327272727273
59_6,F,H,Amandine Fouillard,Mustapha Ben Mechedal,0.15805520994271183
41_3,F,,Cécile Rivière, ,0.1579788838612368
50_1,H,F,Aurélien Marion,Martine Danjou,0.1578689422550235
01_1,F,H,Fabrine MARTIN ZEMLIK,Serge TISSOT,0.15751271382339344
01_2,F,H,Sylviane THIEBAUT,Dominique COLAS,0.15665632190058323
78_10,H,F,Benjamin Nicoletta,Valérie Profizi-Bachelart,0.15635809025791866
49_5,H,F,Kévin Certenais,Elisabeth Allain,0.1560204870506378
06_5,H,F,Philippe PELLEGRINI,Christine Evain,0.1555692651184653
60_2,H,F,Philippe Virolle,Marie Lemmet,0.1547025826475697
28_3,F,,Pascale Certain, ,0.1542236115149753
41_2,H,F,Yvon Chery,Mireille Garnier,0.15396730399722808
78_5,,,Sophie THEVENET, ,0.1531272465851905
78_6,,,Nelly Pascaud, ,0.1521430022344099
42_6,F,H,Sadia Nadia Seghir,Sylvain Begon,0.15187390708445578
70_1,H,F,François Froidurot,Elisabeth Faivre Morel,0.1515386939444948
56_1,F,H,Céline Marie Lorène Meneses Delgado née Aumont,ALAIN BOUXIN,0.15135085356448066
21_5,F,,Elisabeth Kremer, ,0.15131904926352457
61_1,F,H,Martine Hamel,Patrick Berrier,0.15009384248899155
83_3,F,H,Danielle Lapierre,Yannick Perrot,0.14990829169565492
55_2,H,,Michaël Clément, ,0.14981289610867168
50_2,H,F,Patrick GRIMBERT,Claudine Santier,0.14975756781548946
74_1,H,F,Julian Augé,Margaux Lagay,0.1495912332579579
55_1,H,,Guy JEANNESSON (Titulaire), ,0.1495379353438353
06_4,F,H,Zohra Briand,Didier PLAGNOL,0.14894585166085242
49_4,F,F,France Moreau,Caroline Bessat,0.14854009732684487
51_3,H,F,Roland JACQUES,Marianne Siedlecki,0.14738088671868663
45_3,H,F,Kévin MERLOT,Françoise Causse,0.14725881852953676
60_4,H,F,Martin Battaglia,Julie Demesse,0.1456314643440392
78_1,H,,Thibaut Marchal, ,0.14528824589947673
69_8,F,H,Pascale Cernicchiaro,Fabien De Marchi,0.14475649651256095
75_13,F,H,Magalhy Berto,Yazid Arifi,0.144362150427787
2B_1,F,F,Catherine Laurenti,Claude Franceschi,0.1434655106464363
92_8,F,H,Annette Benmussa,Henri Borsenberger,0.14330697641872508
62_4,F,,Sarah Regnier, ,0.14298597194388776
69_5,F,H,Céline BERNARDI,Michel Poulain,0.14276163762407895
68_4,H,,Gabriel WEISSER, ,0.14275904261296243
69_10,H,F,Olivier Daudé,Brigitte Bonnetain,0.14247444666961429
85_4,F,H,Anita LAVERGNE,Arnaud Perherin,0.1416092459561159
92_3,F,H,Virginie Kenler,Bertrand Perrotte,0.14073701229370672
68_1,F,F,Guillaume Pernot,Anne-Marie Salomon,0.14072310770716898
68_2,F,,Christelle Rillet, ,0.13951251683108462
78_4,F,H,Faustine Huet,Sélim Bouchareb,0.13846536810006846
2A_1,H,F,Jacques Casamarta,Christine Malfroy,0.13800368712141164
52_2,H,F,Daniel MONNIER,ELISABETH BECKER,0.13783482142857142
85_3,H,,Alain DARMEY, ,0.13766571727147922
25_5,F,H,Martine Ludi,Ivan Bouday,0.13743304838932457
01_4,F,H,Line HUGUET,Cédric Raffin,0.136777944749519
78_2,H,F,Marc Soriano,Anne Theunissen,0.13660021604635175
28_4,F,,Sophie Sinatti, ,0.13653584159154955
57_5,F,,Brigitte BLANG, ,0.1356312754836276
06_9,H,F,Denis LEBLANC,Christine Le Bouteiller,0.13555805725313605
10_2,F,H,Elise Géhin,André Smolarz,0.13422166109329148
06_7,H,F,Philippe Carenzo,Michèle Charles,0.13382844108941808
67_4,H,,Albert Schwartz, ,0.13328846839000832
67_5,F,H,Janig TERRIER,Olivier Raoulx,0.1325248016481293
61_2,H,F,Jean-Claude MARIE,Sylvie Quinton-Barbeau,0.13167306187832956
06_8,F,H,Maddy VARD,Luc Biasso,0.13129141463571165
83_4,H,,Eric Habouzit, ,0.1300995902087868
2B_2,H,H,Jean Moghraoui,Amélie Raffeali,0.12992693826401533
67_6,F,F,Denis Gadot,Christelle Gleitz,0.12747305135471568
06_6,F,H,Prune Helfter-Noah,Stéphane Pons,0.1217357475158451
75_1,H,F,Patrick Comoy,Fabienne Loup,0.12039176366304838
10_1,H,F,Michel Bach,Julie Lapeyre,0.11962671332750073
83_5,F,H,Catherine Aubry,Julien Poussin,0.11886949293433084
51_5,F,,Laurène Massicard, ,0.11829043668193451
92_7,F,,Olfa Mzoughi, ,0.1180958236107812
75_2,F,H,Anne-Françoise PRUNIERES,Julien Bermudez,0.11504954984131097
68_3,F,H,Marianne Berçot,Patrice Weigel,0.11469908270564547
78_3,H,F,Alexandre Langlois,Aurélie Dambry,0.1131839515073048
67_7,F,F,Peter Andersen,Christine Strande,0.11200533570475767
67_9,H,,Leila Witzmann, ,0.11171295975618203
75_12,H,F,Patrick Lefrançois,Françoise Giboteau,0.1094005427968321
92_6,H,F,Josué Hantoni de Biasi,Adeline Chenon Ramlat,0.10138490926456542
92_9,F,H,CHRISTEL MILHAVET,Gregory François,0.0991395297084786
67_8,F,F,Manuel Ménétrier,Sandrine Finck,0.09731420412048684
75_4,F,H,Mélanie Monier,Kevin Guibert,0.06676018726655061
