code_circo,genre,nom,MACRON
13_9,F,Sylvie BRUNET,0.17902391384680358
80_5,H,Thierry VINDEVOGEL,0.1783040825312952
76_8,F,Béatrice DELAMOTTE,0.1780891396690547
72_3,F,Pascale FONTENEL PERSONNE,0.17702199958988782
06_8,H,Philippe BUERCH,0.1768896304972163
68_4,F,Aurélie TACQUARD,0.17613274568314335
34_5,H,Philippe HUPPE,0.17507169056352118
59_17,H,Dimitri HOUBRON,0.17489210321974827
30_2,F,Marie SARA,0.1746348034744538
57_4,F,Mathilde HUCHOT,0.17399255947728764
83_6,F,Valérie GOMEZ-BASSAC,0.17362894818858882
77_4,H,Emmanuel MARCADET,0.172898759399043
10_1,H,Gregory BESSON-MOREAU,0.17130358705161855
83_8,H,Fabien MATRAS,0.170396812826667
51_5,H,Bertrand TREPO,0.17023912370209784
34_6,F,Isabelle VOYER,0.17010072603093523
59_18,F,Claire POMMEYROLE,0.1698597182772013
2A_2,H,Jean Charles ORSUCCI,0.16594304026464052
13_16,F,Monica MICHEL,0.1635473901098901
84_3,F,Brune POIRSON,0.16208413066102662
13_12,F,Céline GAILHAC,0.1609970303021773
06_4,F,Alexandra VALETTA ARDISSON,0.16053389959047473
59_3,H,Christophe DI POMPEO,0.15900442707176593
59_20,H,Daniel ZIELINSKI,0.15769777192556914
83_4,F,Solveig SEREINE MAUBORGNE,0.15741089777107628
62_12,F,Coralie REMBERT,0.15473434588673707
52_2,H,Vincent BERTHET,0.1537603021978022
62_10,F,Laurence DESCHANEL,0.15258456803162437
59_16,F,Chantal RYBAK,0.149363773060195
62_11,F,Anne ROQUET,0.1454566427314935
