code_circo,nom,genre,HAMON
62_6,Brigitte BOURGUIGNON,F,0.04874892148403796
88_3,Stessy SPEISSMANN,H,0.04866683423886773
999_10,Daad Naffi,F,0.04862408168347653
59_16,Frédéric DELANNOY,H,0.04845672525020615
51_4,Rudy NAMUR,H,0.0484403791563605
30_3,Catherine EYSSERIC,F,0.04827512263114161
72_4,Stéphane LE FOLL,H,0.04810776138550353
13_2,Annie LEVY-MOZZICONACCI,F,0.04810554259512509
62_7,Yann CAPET,H,0.047976929126977194
76_10,Jean-Pierre THEVENOT,H,0.04783948874863098
68_6,Pierre PARRA,H,0.04762318337096868
57_7,Paola ZANETTI,F,0.047554726842947544
30_1,Françoise DUMAS,F,0.04716604781047657
72_3,Nicolas CHAUVIN,F,0.04711896183027214
55_1,Arnaud MAC FARLANE,H,0.04711086263031539
59_3,Rémi PAUVROS,H,0.04702468203556464
59_15,Michel LABITTE,H,0.04694368850743144
57_6,Jean-Christophe KINNEL,H,0.046776258305732225
17_4,Fabienne DUGAS RAVENEAU,F,0.04623675843681832
84_5,Jean-François LOVISOLO,H,0.046061301375172475
30_4,Fabrice VERDIER,H,0.04597045650541074
59_21,Christine LAURENT,F,0.04593358520580632
10_3,David BLANCHON,H,0.04586346798377139
41_2,Didier GUENIN,H,0.04586260119066368
08_3,Didier HERBILLON,H,0.04555662495989734
70_1,Laurent RICARD,H,0.045419885766901175
17_5,Mickaël VALLET,H,0.04538351867693185
59_14,Christian DEVOS,H,0.0452878878853303
13_16,Nora MEBAREK,F,0.045200892857142856
38_6,Alexandre BOLLEAU,F,0.04509822293013523
88_4,Christian FRANQUEVILLE,H,0.04489220152881298
34_7,Sébastien DENAJA,H,0.04444277146227007
55_2,Jean-Louis DUMONT,H,0.04440743224243473
89_3,Dominique BOURREAU,H,0.04407930998525227
59_20,Marcel LOUREL,H,0.043972417616688034
85_3,Anthony PITALIER,H,0.04348093354916706
45_4,Jalila GABORET,F,0.043220324196053116
51_3,Hadhoum BELAREDJ TUNC,H,0.043021916519312815
77_4,Olivier HUSSON,H,0.04299198627048882
83_1,Valentin GIES,F,0.04287583144473311
92_6,Marie BRANNENS,F,0.04267749124482649
61_2,Serge DELAVALLEE,H,0.04256230674663786
02_4,Marie Françoise BECHTEL,F,0.04245881934686553
62_1,Jean-Jacques COTTEL,H,0.04223985994961025
13_3,Anne DI MARINO,F,0.041707593502077825
76_6,Marie LE VERN,F,0.04136043328868441
06_3,Pierre-Marie CARLIER,H,0.04130962848158801
57_5,Angèle DUFFLO,F,0.04124081691304582
62_4,Blandine DRAIN,F,0.04123962210134555
59_18,Claire POMMEYROL BURLET,F,0.04120051011535563
10_2,Audrey AIT KEDDACHE,F,0.040793694124070155
66_2,Marie-Pierre SADOURNY,F,0.040711821803888014
30_2,Katy GUYOT,F,0.040666264400881245
02_3,Jean-Louis BRICOUT,H,0.040320575352422484
13_1,Gérard OREGGIA,H,0.039831758160734636
06_2,Xavier GARCIA,H,0.03798015317221444
13_9,Stéphanie HARKANE,F,0.03763923348994352
83_2,Cécile MUSCHOTTI,H,0.03757162227179285
83_3,William SEEMULLER,F,0.03713870090443362
52_2,Antoine DESFRETIER,H,0.03635817307692308
84_3,Céline VALADIER,F,0.03627421358310672
80_5,Benjamin LUCAS,H,0.03547839214946216
75_4,Fabrice DASSIE,H,0.03542515253435192
10_1,Emmanuel PROVIN,H,0.035267813745504036
84_4,Marlène THIBAUD,F,0.03478956313106068
06_5,Chaama GRAILLAT,F,0.03456278734999045
13_12,Isabelle ROVARINO,F,0.03383485102250496
83_7,Jimmy COSTE,H,0.03372788596156294
75_14,Pierre-Alain WEILL,H,0.03180781758957655
51_5,Linda MUNSTER,F,0.031198552543643742
83_5,Insaf REZAGUI,F,0.02733757005336122
