Classement des circonscriptions,Liste H/F EM,LFI,LR,FN,PS,Total Femmes jusqu’alors - EM,LFI,LR,FN,PS,Proportion de femmes jusqu’alors - EM,LFI,LR,FN,PS
159,F,F,F,F,H,77,74,38,68,75,0.4843,0.4654,0.2390,0.4277,0.4717
160,F,H,H,F,H,78,74,38,69,75,0.4875,0.4625,0.2375,0.4313,0.4688
161,F,H,F,F,H,79,74,39,70,75,0.4907,0.4596,0.2422,0.4348,0.4658
162,H,F,H,H,F,79,75,39,70,76,0.4877,0.4630,0.2407,0.4321,0.4691
163,H,F,F,F,F,79,76,40,71,77,0.4847,0.4663,0.2454,0.4356,0.4724
164,F,H,H,F,F,80,76,40,72,78,0.4878,0.4634,0.2439,0.4390,0.4756
165,F,H,H,F,H,81,76,40,73,78,0.4909,0.4606,0.2424,0.4424,0.4727
166,F,F,H,F,F,82,77,40,74,79,0.4940,0.4639,0.2410,0.4458,0.4759
167,F,F,H,H,F,83,78,40,74,80,0.4970,0.4671,0.2395,0.4431,0.4790
168,F,H,F,H,F,84,78,41,74,81,0.5000,0.4643,0.2440,0.4405,0.4821
169,H,F,H,F,H,84,79,41,75,81,0.4970,0.4675,0.2426,0.4438,0.4793
170,F,F,H,F,F,85,80,41,76,82,0.5000,0.4706,0.2412,0.4471,0.4824
171,F,F,F,H,F,86,81,42,76,83,0.5029,0.4737,0.2456,0.4444,0.4854
172,F,F,H,H,H,87,82,42,76,83,0.5058,0.4767,0.2442,0.4419,0.4826
173,H,F,H,F,H,87,83,42,77,83,0.5029,0.4798,0.2428,0.4451,0.4798
174,H,F,H,F,H,87,84,42,78,83,0.5000,0.4828,0.2414,0.4483,0.4770
175,H,H,H,F,F,87,84,42,79,84,0.4971,0.4800,0.2400,0.4514,0.4800
176,F,F,H,H,H,88,85,42,79,84,0.5000,0.4830,0.2386,0.4489,0.4773
177,F,H,H,H,F,89,85,42,79,85,0.5028,0.4802,0.2373,0.4463,0.4802
178,H,F,F,H,H,89,86,43,79,85,0.5000,0.4831,0.2416,0.4438,0.4775
179,H,F,H,F,H,89,87,43,80,85,0.4972,0.4860,0.2402,0.4469,0.4749
180,F,F,F,H,H,90,88,44,80,85,0.5000,0.4889,0.2444,0.4444,0.4722
181,H,F,H,F,F,90,89,44,81,86,0.4972,0.4917,0.2431,0.4475,0.4751
182,F,F,F,H,H,91,90,45,81,86,0.5000,0.4945,0.2473,0.4451,0.4725
183,F,H,F,H,H,92,90,46,81,86,0.5027,0.4918,0.2514,0.4426,0.4699
184,F,F,H,F,H,93,91,46,82,86,0.5054,0.4946,0.2500,0.4457,0.4674
185,H,F,H,H,F,93,92,46,82,87,0.5027,0.4973,0.2486,0.4432,0.4703
186,F,F,H,H,F,94,93,46,82,88,0.5054,0.5000,0.2473,0.4409,0.4731
187,H,H,F,H,F,94,93,47,82,89,0.5027,0.4973,0.2513,0.4385,0.4759
188,F,H,H,H,H,95,93,47,82,89,0.5053,0.4947,0.2500,0.4362,0.4734
189,F,H,H,H,H,96,93,47,82,89,0.5079,0.4921,0.2487,0.4339,0.4709
190,H,H,H,F,F,96,93,47,83,90,0.5053,0.4895,0.2474,0.4368,0.4737
191,H,H,H,H,H,96,93,47,83,90,0.5026,0.4869,0.2461,0.4346,0.4712
192,H,H,H,F,F,96,93,47,84,91,0.5000,0.4844,0.2448,0.4375,0.4740
193,H,F,H,H,H,96,94,47,84,91,0.4974,0.4870,0.2435,0.4352,0.4715
194,F,F,H,F,H,97,95,47,85,91,0.5000,0.4897,0.2423,0.4381,0.4691
195,H,H,F,H,H,97,95,48,85,91,0.4974,0.4872,0.2462,0.4359,0.4667
196,H,F,H,H,F,97,96,48,85,92,0.4949,0.4898,0.2449,0.4337,0.4694
197,F,F,F,H,H,98,97,49,85,92,0.4975,0.4924,0.2487,0.4315,0.4670
198,H,H,H,H,H,98,97,49,85,92,0.4949,0.4899,0.2475,0.4293,0.4646
199,F,F,F,H,H,99,98,50,85,92,0.4975,0.4925,0.2513,0.4271,0.4623
200,F,F,F,F,F,100,99,51,86,93,0.5000,0.4950,0.2550,0.4300,0.4650
201,F,H,H,H,H,101,99,51,86,93,0.5025,0.4925,0.2537,0.4279,0.4627
202,F,H,H,F,H,102,99,51,87,93,0.5050,0.4901,0.2525,0.4307,0.4604
203,F,F,F,H,F,103,100,52,87,94,0.5074,0.4926,0.2562,0.4286,0.4631
204,H,H,H,F,F,103,100,52,88,95,0.5049,0.4902,0.2549,0.4314,0.4657
205,H,H,H,H,H,103,100,52,88,95,0.5024,0.4878,0.2537,0.4293,0.4634
206,H,F,F,F,F,103,101,53,89,96,0.5000,0.4903,0.2573,0.4320,0.4660
207,F,H,H,F,H,104,101,53,90,96,0.5024,0.4879,0.2560,0.4348,0.4638
208,F,H,F,F,F,105,101,54,91,97,0.5048,0.4856,0.2596,0.4375,0.4663
209,F,F,H,H,F,106,102,54,91,98,0.5072,0.4880,0.2584,0.4354,0.4689
210,H,F,H,F,F,106,103,54,92,99,0.5048,0.4905,0.2571,0.4381,0.4714
211,F,F,F,H,F,107,104,55,92,100,0.5071,0.4929,0.2607,0.4360,0.4739
212,F,F,F,F,F,108,105,56,93,101,0.5094,0.4953,0.2642,0.4387,0.4764
213,H,H,F,H,H,108,105,57,93,101,0.5070,0.4930,0.2676,0.4366,0.4742
