code_circo,TG,SG,Titulaire,Suppléant
12_2,H,F,Pascal Mazet,Céline Hebeisen
57_8,H,F,Lionel Burriello,Céline Léger
82_2,H,F,Ivan Jacquemard,Céline Tainturier
74_4,F,H,Véronique Jacob,Cemil Sanli
46_2,H,F,Pierre Dufour,CHANTAL GRIN
93_9,F,H,Sabine Rubin,Charles Alonso
30_3,F,H,Geneviève Sabathé,Charlotte Montels
971_2,H,F,Michel Tola,Christèle Roussel
67_6,F,F,Denis Gadot,Christelle Gleitz
22_3,H,F,Ronan Glaziou,Christelle Marcq
95_9,F,H,Rabha Belbachir,Christian Guéry
57_2,F,H,Claudine POIRSON,Christian Marques
25_4,F,H,Nadia Barznica,Christian Millet
38_9,F,H,Marie-Pierre MICOUD,Christian Toillier
71_3,H,F,Pierre Aceituno,Christine BAILLARD
59_20,H,F,David Richer,Christine Dufner
91_4,H,F,Bernard Terris,Christine Duval
06_5,H,F,Philippe PELLEGRINI,Christine Evain
06_9,H,F,Denis LEBLANC,Christine Le Bouteiller
2A_1,H,F,Jacques Casamarta,Christine Malfroy
67_7,F,F,Peter Andersen,Christine Strande
17_2,F,H,Maud Assila,Christophe Geffré
80_4,F,H,Caroline Vincent,Christophe Hertout
05_2,F,H,Audrey Vincent-Nedelec,Christophe Tassaux
24_2,H,,Pascal Dumeste,Chrystel Boutillier
53_1,H,F,Nicolas Chomel,Claire Forgin
94_1,H,F,Thierry N'kaoua,Claire Giardelli
54_5,H,F,Rodolphe Bauer,CLAIRE Prignon
2B_1,F,F,Catherine Laurenti,Claude Franceschi
48_1,H,F,Christian CAUSSE,Claude Soudan
59_17,H,F,François Guiffard,Claudine AUGUSTE
39_3,H,F,Jean-Bernard Marcuzzi,Claudine Roueff
50_2,H,F,Patrick GRIMBERT,Claudine Santier
33_10,F,H,Eloïse Bajou,Clément Brun
93_7,H,F,Alexis Corbière,Corinne Benabdallah
18_1,H,F,Frederic Renard,Corinne Trussardi
81_1,F,H,Tinhinane Hadji,Daniel Caors
25_2,F,H,Claire Arnoux,Daniel CONVERSY
59_14,F,H,Delphine Decoster,Daniel Cordiez
16_1,F,H,Martine Boutin,Daniel GAUTIER
70_2,F,H,Isabelle Haismann-Febvay,David Dornier
42_1,F,H,Corinne OUMAKHLOUF,DAVID JAMONAC
80_3,F,H,Isabelle BRUSADELLI-DORION,DAVID Pauchet
83_6,F,H,Jill Caziconstantinos,Denis Joly
29_4,H,F,Julien Kerguillec,Diane CHEVAIS
43_1,F,H,Martine DEJEAN,Didier Gagnaire
974_4,F,H,Corine Bédier,Didier Migneau
06_4,F,H,Zohra Briand,Didier PLAGNOL
01_2,F,H,Sylviane THIEBAUT,Dominique COLAS
75_11,H,F,Jean Pierre Coulomb,Dominique Mesfioui
68_6,H,F,Philippe DUFFAU,Elena Andrioli
78_9,F,F,Marie-Anne Moynacq,Elena Petrova
49_5,H,F,Kévin Certenais,Elisabeth Allain
52_2,H,F,Daniel MONNIER,ELISABETH BECKER
70_1,H,F,François Froidurot,Elisabeth Faivre Morel
95_8,F,H,Pamela Hocini,Elisée Fernandez
95_2,F,H,Sylvie Geoffroy-Martin,Elliott Bareau
75_5,F,H,Layla Yakoub,Emmanuel Olivard
90_1,F,H,Anaïs Beltran,Emmanuel PETITJEAN
80_5,H,F,Olivier Spinelli,Emmanuelle Alarcon Garcia
03_2,H,F,Sylvain Bourdier,Emmanuelle Michon
33_4,F,H,Maud Besson,Eric BAREYT
72_4,F,H,Pascale Fromentière,Eric Jamet
13_9,F,H,Sylvie Pille-Lesou,Eric Remen
71_5,F,H,Laura Léger,Eric Riboulet
04_1,F,H,Emmanuelle Gaziello,Eric Vuoso
77_7,H,F,Grégory Jurado,Ersilia Soudais
04_2,H,F,Laurent WALTER,Evelyne BLANC
72_1,H,F,Loïc Morisot,Evelyne Maillard
69_8,F,H,Pascale Cernicchiaro,Fabien De Marchi
38_8,F,H,Myriam Thieulent,Fabien Juglair
75_1,H,F,Patrick Comoy,Fabienne Loup
69_11,H,H,Christine Valentin,Fabrice NOTO
77_1,F,F,Bénédicte Monville-De Cecco,Fatiya Ammad-Mothay
07_3,H,F,Alain JOFFRE,Florence Pallot
57_1,F,H,Narjès Chouikha,François Fauve
45_3,H,F,Kévin MERLOT,Françoise Causse
59_19,H,F,Julien Poix,Françoise Dupont Cunin
75_12,H,F,Patrick Lefrançois,Françoise Giboteau
77_10,H,F,Maxime Laisney,Françoise Godin
38_4,H,F,Laurent Viallard,Françoise Meynier
91_5,H,F,Sylvère Cala,Frédérique Dumont
56_6,H,F,DAVID Guillemet,Gaëlle Chammings Brulon
51_1,F,H,Laure MANESSE,Gaspar Pierre
03_3,F,H,Marie-Thérèse Dupuis,Geoffrey Ortuno
39_1,H,F,Gabriel Amard,Géraldine Revy
95_10,F,H,Katia Noin Ledanois,Gérard Januario
44_2,F,H,Carole Malard,Gilles Dagorne
26_2,F,H,Rachel Mahé,gilles reynaud
16_2,F,H,Nathalie Jabli,Grégoire Feybesse
92_9,F,H,CHRISTEL MILHAVET,Gregory François
33_6,F,H,Marie Duret-Pujol,Grégory Teychon
44_10,F,H,Gaëlle Cardona,Guilhem Bato
13_11,F,H,Claudie HUBERT,Guillaume DALLA COSTA
60_3,F,H,Karine Monségu,Guy Friadt
26_3,H,F,Didier Thévenieau,Hélène Lacheret
62_8,H,F,CASIMIR LETELLIER,Hélène Roche
92_8,F,H,Annette Benmussa,Henri Borsenberger
22_4,F,H,Murielle LEPVRAUD,Henri DUCLUT
73_4,F,H,Tifen Ducharne,Hugues Grimberg
